ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,category_id
2023-02-11,401.9354447373142,40.663678321133865,785.6050884333629,328.62739392,0.0653873848211891,-0.08807660512470654,11
2023-02-12,434.99046031054183,56.569054783672414,822.4742801303679,328.6803323365116,-0.060611153868555284,-0.09722479819704583,11
2023-02-17,491.96062108293637,116.88046125727061,858.8367739761196,328.94502441906974,0.0930759198647138,-0.058053277690936426,11
2023-02-21,356.9343842906214,0.0,757.7811730455571,329.15677808511623,-0.13667732425430676,0.06627233436169848,11
2023-02-23,351.50825094756726,0.0,741.3870957831543,329.2626549181395,-0.10687052100003461,0.1483738409482073,11
2023-02-26,347.2180514219354,0.0,681.800034106739,329.4214701676744,-0.06061115386890404,0.2788420840416722,11
2023-02-28,408.18300937017875,11.800791919701018,800.0068283141054,329.52734699973865,-0.13667732425413018,0.3608478859836237,11
2023-03-03,382.5206006330437,44.205365371156944,753.7079109968856,329.686162247835,0.09307591986422281,0.4611491353386371,11
2023-03-05,143.43661119193462,0.0,524.8494193275081,329.7920390798992,-0.06061115386837308,0.5061491782006665,11
2023-03-06,180.09479646401851,0.0,556.5051574521345,329.84497749593135,0.10756796876869326,0.5209761689683524,11
2023-03-08,397.48020598136935,36.16566460135676,762.4775667694304,329.95085432799556,0.03812772566834971,0.5346060638348237,11
2023-03-10,434.1114708170929,91.86475775089627,815.6683940587855,330.05673116005977,0.09307591986407297,0.5273731281513382,11
2023-03-12,384.4703504078339,4.3097832068000494,770.6697901207933,330.16260801057615,-0.060611153867842125,0.5014564773526674,11
2023-03-24,314.68752318666975,0.0,697.0664281140049,330.7978691136741,0.09307591986458412,0.21009466640075633,11
2023-03-25,420.16906758198587,65.8767591844292,787.0394249684473,330.85080753893226,0.06538738482063695,0.1949817880845092,11
2023-04-06,405.3526653855864,43.899375467377254,793.0429204727917,331.4860686420302,-0.10687052100039397,0.2476027007698898,11
2023-04-14,498.79020758494784,135.20606228066717,861.3139079552061,331.9095760440955,0.09307591986394327,0.31885521904672603,11
2023-04-15,430.68561816640647,71.94404831207099,815.5403983420725,331.96251446302784,0.06538738482025727,0.31665591277517563,11
2023-04-19,383.7504488319966,6.129971900705083,765.0152635027247,332.17426813875704,0.03812772566853783,0.2764568408081351,11
2023-04-24,422.2967864063604,41.17221594557296,770.2222314568472,332.4389602334187,0.10756796876895246,0.1655560254420738,11
2023-05-05,307.212172495968,0.0,669.608482109207,333.0212828416741,0.09307591986430458,-0.13650711320407452,11
2023-05-13,280.1538245670802,0.0,629.5238773006381,333.44479019313263,0.06538738482108017,-0.2541003846230201,11
2023-05-16,142.01241523316784,0.0,501.2329902533767,333.60379223487047,-0.13667732425433032,-0.27064956574214283,11
2023-05-21,213.21302569386037,0.0,599.371081639674,333.8687956377669,-0.06061115386802307,-0.27740521766835396,11
2023-05-22,275.4660674944331,0.0,653.699270479044,333.92179631834614,0.10756796876890973,-0.2769154807236225,11
2023-05-27,240.66795765704288,0.0,603.9882670285016,334.1867997212425,0.06538738482159523,-0.27206218229133905,11
2023-05-31,277.991965253488,0.0,623.2834953283499,334.3988024435596,0.03812772566848509,-0.2706720858127361,11
2023-06-01,279.32982522017676,0.0,662.5800691827849,334.45180312413885,-0.10687052100033465,-0.2711917319559392,11
2023-06-03,321.11501140435445,0.0,707.140090058105,334.5578045040127,0.06538738482174916,-0.27350048173759095,11
2023-06-07,276.38357287904813,0.0,656.9781411546123,334.76980726376047,0.038127725668403674,-0.283290863325585,11
2023-06-17,296.18995568878177,0.0,681.2469528969428,335.29981416312984,0.06538738482037411,-0.3191711436803129,11
2023-06-19,294.02661156219114,0.0,647.5800509085627,335.4058155430037,0.10756796876888276,-0.32143373550841586,11
2023-06-24,287.3402441450128,0.0,667.5104000450583,335.6708189926884,0.06538738482052803,-0.30595975184689106,11
2023-06-25,156.8471666205248,0.0,539.5392637965012,335.72381968134215,-0.060611153868818865,-0.298377995967218,11
2023-06-28,211.01561093692285,0.0,566.4924664215939,335.8828217473035,0.03812772566877107,-0.26597628540424445,11
2023-07-11,230.62019183135897,0.0,569.9972090481617,336.5718306998027,-0.13667732425425816,-0.05764787129182582,11
2023-07-13,289.0067328381822,0.0,653.3998725322742,336.6778320771103,-0.1068705209998306,-0.04383131160588748,11
2023-07-17,346.2915655489947,0.0,706.8796323984483,336.8898348317254,0.10756796876884003,-0.05465767124714336,11
2023-07-23,309.8520934412701,0.0,672.9368318561125,337.2078389636481,-0.06061115386944029,-0.16865967964893933,11
2023-07-25,244.63358186238364,0.0,632.9357014292764,337.31384038815065,-0.13667732425430604,-0.22410156213309854,11
2023-07-31,268.2631935117824,0.0,627.8183914691396,337.63184466165825,0.10756796876902555,-0.37742278534350926,11
2023-08-08,206.82999380802102,0.0,593.6091221224807,338.0558503596684,-0.13667732425435392,-0.3581151872867842,11
2023-08-10,297.9484428062594,0.0,690.467391152006,338.1618517841709,-0.10687052099961293,-0.2933580262240967,11
2023-08-17,378.3431355236665,31.519581093699355,766.1386486156138,338.5328567699299,-0.1068705210000233,0.0731088777719863,11
2023-08-18,418.2601695165098,12.971713739839355,802.8160245965621,338.58585748612455,0.0930759198647264,0.13264424713887651,11
2023-08-21,410.82587203489487,33.9274629126394,783.9835355294008,338.7448596347087,0.10756796876889795,0.2998712813728914,11
2023-08-22,408.5129864770383,35.78365398914204,803.0846774153152,338.79786035090336,-0.1366773242542356,0.34835448816636466,11
2023-08-26,554.5454521873692,187.3536768745698,917.5047054368129,339.0098632156822,0.0653873848214863,0.4817819597640724,11
2023-08-31,470.1012509010599,122.96243264848692,828.7484296802883,339.27486679665566,-0.10687052100060034,0.4712930185317743,11
2023-09-05,378.92785905903975,0.0,710.7221026183762,339.5398703692939,-0.13667732425411733,0.2648898787784746,11
2023-09-06,440.2876712654166,32.33700066063241,809.6035355654838,339.5928710838216,0.03812772566839271,0.2063827309838289,11
2023-09-19,188.46275710018028,0.0,570.5324530570597,340.2818803726811,-0.13667732425423385,-0.4936754366346057,11
2023-09-20,272.15135904454445,0.0,662.5831298403207,340.3348810872087,0.038127725668535714,-0.5126488350869154,11
2023-09-22,238.82515723741207,0.0,576.233253969903,340.440882516264,0.0930759198645967,-0.5291385212224351,11
2023-09-23,206.6572190545451,0.0,562.9469524818603,340.4938832307917,0.06538738482062632,-0.5270177363098215,11
2023-09-24,165.96391469613866,0.0,545.6175212631014,340.5468839583585,-0.0606111538688176,-0.5184503589779215,11
2023-10-01,222.71324756925375,0.0,593.2102732990854,340.9178890513258,-0.06061115386828666,-0.3302946302171431,11
2023-10-06,314.3003308182639,0.0,711.1517751892529,341.18289268915953,0.093075919864297,-0.15860877595715342,11
